Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Honduras,HND,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10000038,21.5,19,19.39999962,19.79999924,20.39999962,20.39999962,20.39999962,20.39999962,20.39999962,20,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99253516,,16.90508972,,,,,,15.60981619,,,
Croatia,HRV,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5,81.5,84.40000153,84.59999847,,,,,,88.9676254,88.9676254,89.13492665,90.4506291,90.51221756,90.72034909,91.05406324,,,
Haiti,HTI,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.89999962,22.39999962,22.79999924,23.29999924,23.79999924,24.20000076,24.29999924,24.29999924,24.29999924,24.29999924,24,,,,,,,,,,,,,,
Hungary,HUN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.09999847,44.09999847,44.09999847,44.09999847,43.09999847,43.40000153,43.40000153,,,,,39.15061953,38.18423575,38.07854093,38.03833578,37.71522874,37.6502273,37.96748667,38.12353746,37.94616866,,,
Indonesia,IDN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.09999847,45.29999924,53.59999847,53.79999924,53.79999924,52.40000153,46.29999924,56.40000153,47.29999924,46.29999924,58,60,59.528,59.869,55.277,55.424,54.934,59.373,59.10649467,56.94077932,56.99713121,57.007,,,
Isle of Man,IMN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.29999924,51.90000153,54.40000153,54.90000153,55.40000153,54.70000076,56.5,57,46.66999817,47,,,,48.61975967,,,,49.54416399,51.98,53.09,53.83,,,
Not classified,INX,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,94,94,94,94,94,94.09999847,94.09999847,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,
"Iran, Islamic Rep.",IRN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.20000076,49.90000153,52.09999847,56.79999924,56.29999924,,63,67,68.513257,69.27737479,69.68878859,71.87202083,72.10687259,72.47667036,76.26300025,77.94483224,80.64425291,74.29504446,,,
Iraq,IRQ,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.90000153,79.40000153,81,82.59999847,84.30000305,86,86,,84.30000305,84.30000305,,,,,,,,,,,,,,,
Iceland,ISL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.89999962,20.79999924,22.10000038,23.70000076,24.70000076,24.79999924,25.89999962,25.70000076,27.10000038,28.10000038,30,31,31.49946063,,34.39716312,35.39028321,35.85672649,36.6416309,37.34265734,38.41259989,39.86938268,40.74476338,,,
Israel,ISR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Italy,ITA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,,,100,,,,,,,,,,,
Jamaica,JAM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,65.19999695,66.5,67.90000153,69.19999695,70.59999847,70.69999695,,70.09999847,70.09999847,,,,73.25,,73.28,,,,,,,,,
Jordan,JOR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,,,100,,,,100,100,100,100,100,100,100,100,100,,,
Japan,JPN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.19999695,70.09999847,71.09999847,72.09999847,73,73.59999847,74.30000305,74.90000153,76,76.09999847,,,,,,,,,,,,,,,
Kazakhstan,KAZ,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.09999847,68.69999695,70.59999847,70.40000153,73.5,76.30000305,80.5,82.80000305,86.5,,,,,93.97000122,93.43000031,91.16000366,91.43431299,90.25804581,89.88,88.49,89.52592222,88.7417014,,,
Kenya,KEN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.80000019,13.30000019,13.80000019,14.30000019,13.60000038,13.80000019,12.10000038,12.10000038,12.10000038,12.10000038,12,14,14.12651745,14.25256878,14.11999989,14.36144275,14.36662262,14.58592214,14.59064098,14.33045444,14.33322033,6.954613826,,,
Kyrgyz Republic,KGZ,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,91,91,91,91,91.09999847,91.09999847,91.09999847,91.09999847,91,,,,,,,,,,,,,,
Cambodia,KHM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,,,,,,,6.289999962,,,,,,,,,,
Kiribati,KIR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,39.29999924,40,40.79999924,41.70000076,42.5,42.5,42.5,42.5,42.5,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5,76.40000153,80.80000305,84.69999695,77.80000305,76,72.69999695,74,74.5,74.5,76,77,76.69648156,76.74827512,76.13434652,76.82539372,77.59107209,78.27876411,78.51030354,79.24902127,79.76602093,80.35513683,,,
Kosovo,KSV,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85181437,26.02444285,,,,
Kuwait,KWT,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.90000153,74.40000153,75.90000153,77.40000153,78.90000153,80.5,80.59999847,80.59999847,80.59999847,80.59999847,,,,84.40000153,85,,,,,,,,,,
Latin America & Caribbean (developing only),LAC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.60000038,,28.125,,,,,,25.97454631,,,
Lao PDR,LAO,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,16,16,16,16,13.80000019,,,,,,,14.06999969,14.40999985,,13.4,12.90130459,13.05965084,13.53946391,13.68024666,,,,,
Lebanon,LBN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,95,95,95,,,84.90000153,,,,,,,,,,,,,,,
Liberia,LBR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,5.599999905,5.699999809,5.900000095,6,6.099999905,6.199999809,6.199999809,6.199999809,6.199999809,6,,,,,,,,,,,,,,
Libya,LBY,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.70000076,52.70000076,53.79999924,54.90000153,56,57.09999847,,,,57.20000076,57,,,,,,,,,,,,,,
St. Lucia,LCA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (all income levels),LCN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.47999954,,32.95999908,,,,,,25.97454631,,,
Latin America and the Caribbean,LCR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,LDC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,19,,,,,,20.89,,,
Low income,LIC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5762842,,16.90508972,,,,,,20.61243931,,,
Liechtenstein,LIE,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.83999634,81,,,,,,,14.87646043,,,,
Lower middle income,LMC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.63000011,,29.98999977,,,,,,35.95184867,,,
Low & middle income,LMY,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.99499989,,29.625,,,,,,37.85838393,,,
Lesotho,LSO,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,16,15,15,17.89999962,17.89999962,16.79999924,17.29999924,18.29999924,18,,,,,,,,,,,,,,
Lithuania,LTU,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,27.41483901,27.46378006,27.77098486,28.19225883,28.38942789,28.60434863,29.21880785,29.42912297,39.53568612,30.07803548,,,
Luxembourg,LUX,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.09999847,99.09999847,99.09999847,97.80000305,99.09999847,99,100,99,100,100,100,100,100,100,100,,,,,,,,,,
Latvia,LVA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
St. Martin (French part),MAF,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.09999847,49.5,49.5,49.59999847,50.20000076,50.20000076,50.20000076,52.29999924,52.29999924,56.29999924,56,56,56.41999817,56.90000153,56.90000153,61.88999939,61.88980477,61.9808528,62.03934177,70.31915625,70.41185033,70.56288119,,,
Mexico and Central America,MCA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,MCO,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,,,,,,100,100,100,100,100,,,,
Moldova,MDA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.09999847,86.09999847,85.09999847,86.40000153,86.59999847,87.30000305,86.90000153,86.90000153,87,87,86,86,86.2725057,86.20689655,86.21691667,86.25264976,85.50397258,85.69188554,85.80372515,85.80483606,86.15720184,86.22031919,,,
Madagascar,MDG,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.39999962,15.39999962,15.39999962,11.5,,11.5,11.60000038,,,11.60000038,12,,,,,,,,,15.89283808,16.27975237,16.27975237,,,
Maldives,MDV,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,
Middle East & North Africa (all income levels),MEA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,73.50729321,,,,,,80.3902891,,,
Mexico,MEX,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.09999847,,35.5,36,31,31.29999924,31.79999924,29.70000076,34.29999924,32.79999924,34,34,33.55152328,33.52739108,33.20996842,34.47987049,34.55826528,35.31847532,35.99579827,37.11952062,37.21177837,37.77059921,,,
Marshall Islands,MHL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.07530977,,39.87917462,,,,,,53.48392299,,,
"Macedonia, FYR",MKD,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.90000153,59.20000076,59.70000076,60,61.59999847,63.29999924,63.79999924,63.79999924,63.79999924,63.79999924,58,61,61.81593957,61.13496933,62.19902469,64.36963398,63.75218404,60.35404624,59.99856342,59.01004304,58.66944165,58.29936351,,,
Mali,MLI,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89999962,11.10000038,11.30000019,11.5,11.80000019,12,12.10000038,12.10000038,12.10000038,12.10000038,12,,,,18,19.03553299,,,25.05,24.57,,,,,
Malta,MLT,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,95,,88,88,90,87.52999878,87.52999878,,,,87.53229974,,,,,,
Myanmar,MMR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89999962,11.19999981,11.39999962,11.60000038,11.89999962,12.10000038,12.19999981,,,11.43999958,,,,,47.88836833,48.13481348,48.87451403,49.5354634,49.79569512,49.71259904,48.42191,45.682149,,,
Middle East & North Africa (developing only),MNA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.27737479,,70.19999695,,,,,,76.67097193,,,
Montenegro,MNE,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,62,62.55813953,62.97360142,63.27590922,63.93308854,64.35939197,66.53607133,66.54511075,66.85466946,69.1098802,70.36053131,,,
Mongolia,MNG,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.599999905,3.299999952,3.299999952,3.400000095,3.400000095,3.5,4,4,3.5,,,,,,,,,,,,
Northern Mariana Islands,MNP,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.79999924,17.20000076,17.5,17.79999924,18.20000076,18.60000038,18.70000076,18.70000076,18.70000076,18.70000076,19,,,,,,,,20.78,20.78,,,,,
Mauritania,MRT,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,32.41404011,32.34453181,32.61802575,30.2712161,26.848,26.84800289,,27.76515152,29.70455401,34.55102935,,,
Mauritius,MUS,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,93,93,93,93,93,95,95,96,96,97,98,98,100,100,100,98.02078179,98.02761341,98,98.06389158,,,,,
Malawi,MWI,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.02000046,,,,,,,,,,,
Malaysia,MYS,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.97869779,71.31222355,73.28973231,74.12737191,73.94824154,73.91980869,73.99108889,74.45538972,75.58288303,75.31768853,76,78,78.0821728,76.91433149,76.26488191,77.96725079,79.10171203,68.85082957,79.9026641,80.88237469,80.44777463,80.92287698,,,
North America,NAC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.49243594,,52.37051586,,,,,,67.36984495,,,
Namibia,NAM,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.80000019,10.89999962,10.89999962,7.300000191,7.900000095,7.900000095,11.39999962,13.19999981,13.5,13.60000038,,,12.80000019,,13,13,13,13.7,14,14.1,14.47278989,,,,
New Caledonia,NCL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,26,25.65999985,24.95000076,20.45000076,20.61000061,20.5,20.65,20.65,,,,,,
Nigeria,NGA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,
Nicaragua,NIC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.5,10.5,10.60000038,10.69999981,10,,,,,11,11,11.844483,11.766641,12.078236,12.660562,12.41693464,11.99883341,11.67159635,11.61532206,12.72761809,13.32409189,,,
Netherlands,NLD,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,88,88,88,89,90,90,90,90,90,,,,,,,,,,,,,,,
High income: nonOECD,NOC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.40000153,,82.65641855,,,,,,89.29318149,,,
Norway,NOR,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,69.80000305,70.19999695,71,72.5,73.5,72,74,74.5,75.5,76,77,77.5,,,,,,,,80.70025345,,,,
Nepal,NPL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,38.20000076,39,39.70000076,40.5,41.40000153,41.5,,,,31,,,53.90000153,,56.07,55.85,55.13,53.94,,,,,,
New Zealand,NZL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,58,58,58,58,60.40000153,60.79999924,61.29999924,61.29999924,61.90000153,63,63,64,63.71980885,64.14726175,64.49950616,64.89300235,65.34367787,65.5658014,65.89110967,66.14768211,66.24275493,,,
High income: OECD,OEC,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.30999756,,78.20997278,,,,,,80.35513683,,,
OECD members,OED,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.99985976,,77.5,,,,,,79.3017925,,,
Oman,OMN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21.60000038,21.20000076,21.5,19.70000076,20.39999962,30,30,30,30,25,28,30.41264365,33.21513955,36.70749557,39.65624456,42.11221598,41.25097189,43.46434587,45.99989354,48.68857706,49.28607006,,,
Other small states,OSS,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,50.5295959,,,,,,52.25731378,,,
Pakistan,PAK,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,53,53,54,54,45,44,44,53,55,56,58,59.15775587,59.9686315,61.91392978,63.06435747,65.36018372,66.67991311,67.47435649,72.0577609,72.45285327,72.56585938,,,
Panama,PAN,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32.20000076,32.40000153,32.70000076,33.40000153,33.5,33.59999847,29.39999962,28.10000038,34.59999847,36,36,36.04872611,36.05490648,36.60018924,36.83535938,34.12263447,36.65492868,38.13858443,41.95803045,41.05899933,41.77637717,,,
Peru,PER,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.899999619,10,10.30000019,10.5,10.89999962,11.39999962,11.60000038,11.80000019,12.97000027,13.03999996,14,14,14.10130364,12.80449507,13.48155518,13.72990547,13.78378909,16.98089013,16.67551283,16.58061205,18.17679171,13.3272247,,,
Philippines,PHL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.60000038,16.70000076,17.39999962,17.70000076,19.79999924,20,,,,,,,,,,,,,,,
Palau,PLW,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.200000048,3.200000048,3.299999952,3.299999952,3.299999952,3.400000095,3.5,3.5,3.5,3.5,4,,,,,,,,,,,,,,
Poland,POL,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.59999847,63.40000153,64.09999847,64.5,64.90000153,65.30000305,65.40000153,65.69999695,65.59999847,65.59999847,67,66,67.22126879,65.94043293,66.48280697,66.52847932,66.78834673,67.59107288,68.1512915,69.85084323,67.40829913,68.01491277,,,
Puerto Rico,PRI,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,94,,,95,,,,,,,,,,
"Korea, Dem. Rep.",PRK,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.699999809,5.800000191,6,6.099999905,6.199999809,6.300000191,6.400000095,6.400000095,6.400000095,6.400000095,6,,,,,,2.833215952,,,,,,,,
Portugal,PRT,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,86,,,,,,,,,,,,,,,
Paraguay,PRY,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12.9888217,13.35670585,13.68822611,14.02575588,14.36542129,14.41548057,14.63909036,14.71162937,15.15954958,15.55363535,,,
Pacific island small states,PSS,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,21,,,,,,,,,
French Polynesia,PYF,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.59999847,86.5,87.30000305,88.19999695,89.09999847,90,90,90,90,90,,,,,,,,,,,,,,,
Romania,ROU,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,52.29999924,52.79999924,53.09999847,53,,,,,,,,,,,,,,,
Russian Federation,RUS,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.19999695,75.80000305,,,,,,,67.19999695,67.40000153,,,,,,,,,,,,,,,
Rwanda,RWA,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.199999809,9.399999619,9.600000382,9.699999809,9.899999619,,,,,8,,,,19,,,,,,,,,,
South Asia,SAS,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.93431651,,56.0645959,,,,,,45.11194808,,,
Saudi Arabia,SAU,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.59999847,39.5,40,40.90000153,41.79999924,30.10000038,29.79999924,30.10000038,,,30,,,,,21.46999931,,,,,,,,,
Southern Cone Extended,SCE,"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
